text,label
一致性效应,"['NA', 'NA', 'NA', 'NA', 'yìng']"
一般,"['NA', 'bān']"
一般人,"['NA', 'bān', 'NA']"
一般原则,"['NA', 'bān', 'NA', 'NA']"
一般性,"['NA', 'bān', 'NA']"
一般来讲,"['NA', 'bān', 'NA', 'NA']"
一般而言,"['NA', 'bān', 'NA', 'NA']"
一般规定,"['NA', 'bān', 'NA', 'NA']"
一般贸易,"['NA', 'bān', 'NA', 'NA']"
一节诗,"['NA', 'jié', 'NA']"
一落千丈,"['NA', 'luò', 'NA', 'NA']"
一行,"['NA', 'xíng']"
一衣带水,"['NA', 'yī', 'NA', 'NA']"
一见倾心,"['NA', 'jiàn', 'NA', 'NA']"
一见如故,"['NA', 'jiàn', 'NA', 'NA']"
一见钟情,"['NA', 'jiàn', 'NA', 'NA']"
一见高低,"['NA', 'jiàn', 'NA', 'NA']"
一视同仁,"['NA', 'NA', 'tóng', 'NA']"
一览无余,"['NA', 'NA', 'wú', 'NA']"
一觉醒来,"['NA', 'jiào', 'NA', 'NA']"
一角银币,"['NA', 'jiǎo', 'NA', 'NA']"
一触即发,"['NA', 'NA', 'NA', 'fā']"
一触即溃,"['NA', 'NA', 'NA', 'kuì']"
一言一行,"['NA', 'NA', 'NA', 'xíng']"
一言不发,"['NA', 'NA', 'NA', 'fā']"
一言为定,"['NA', 'NA', 'wéi', 'NA']"
驷马难追,"['NA', 'NA', 'nán', 'NA']"
一语双关,"['NA', 'yǔ', 'NA', 'NA']"
一语道破,"['NA', 'yǔ', 'NA', 'NA']"
一败涂地,"['NA', 'NA', 'NA', 'dì']"
一贫如洗,"['NA', 'NA', 'NA', 'xǐ']"
一走了之,"['NA', 'NA', 'liǎo', 'NA']"
一路发,"['NA', 'NA', 'fā']"
一蹴即至,"['NA', 'cù', 'NA', 'NA']"
一蹴而就,"['NA', 'cù', 'NA', 'NA']"
一蹶不振,"['NA', 'jué', 'NA', 'NA']"
一身汗,"['NA', 'NA', 'hàn']"
一转眼,"['NA', 'zhuǎn', 'NA']"
一辞莫赞,"['NA', 'NA', 'mò', 'NA']"
一边,"['NA', 'biān']"
一过性,"['NA', 'guò', 'NA']"
一退六二五,"['NA', 'NA', 'liù', 'NA', 'NA']"
一递一个,"['NA', 'NA', 'NA', 'gè']"
一部分,"['NA', 'NA', 'fèn']"
一锅粥,"['NA', 'NA', 'zhōu']"
一门心思,"['NA', 'NA', 'NA', 'si']"
一闪而过,"['NA', 'NA', 'NA', 'guò']"
一雨成秋,"['NA', 'yǔ', 'NA', 'NA']"
一霎间,"['NA', 'NA', 'jiān']"
一面倒,"['NA', 'NA', 'dǎo']"
一项一项地,"['NA', 'NA', 'NA', 'NA', 'de']"
一马当先,"['NA', 'NA', 'dāng', 'NA']"
一鳞半爪,"['NA', 'NA', 'NA', 'zhuǎ']"
一鼓作气,"['NA', 'NA', 'zuò', 'NA']"
一齐,"['NA', 'qí']"
丁丑,"['dīng', 'NA']"
丁二烯,"['dīng', 'NA', 'NA']"
丁二醇,"['dīng', 'NA', 'NA']"
丁亥,"['dīng', 'NA']"
丁冬,"['dīng', 'NA']"
丁内酯,"['dīng', 'NA', 'NA']"
丁加奴,"['dīng', 'NA', 'NA']"
丁克,"['dīng', 'NA']"
丁卯,"['dīng', 'NA']"
丁型肝炎,"['dīng', 'NA', 'NA', 'NA']"
丁基,"['dīng', 'NA']"
丁字,"['dīng', 'NA']"
丁字梁,"['dīng', 'NA', 'NA']"
丁字步,"['dīng', 'NA', 'NA']"
丁字街,"['dīng', 'NA', 'NA']"
丁字裤,"['dīng', 'NA', 'NA']"
丁客,"['dīng', 'NA']"
丁巳,"['dīng', 'NA']"
丁忧,"['dīng', 'NA']"
丁未,"['dīng', 'NA']"
丁汝昌,"['dīng', 'NA', 'NA']"
丁点,"['dīng', 'NA']"
丁烯,"['dīng', 'NA']"
丁烷,"['dīng', 'NA']"
丁玲,"['dīng', 'NA']"
丁磊,"['dīng', 'NA']"
丁糖,"['dīng', 'NA']"
丁艰,"['dīng', 'NA']"
丁醇,"['dīng', 'NA']"
丁醛,"['dīng', 'NA']"
丁酉,"['dīng', 'NA']"
丁青,"['dīng', 'NA']"
丁青县,"['dīng', 'NA', 'NA']"
丁韪良,"['dīng', 'NA', 'NA']"
丁香,"['dīng', 'NA']"
丁鱥,"['dīng', 'NA']"
丁鲷,"['dīng', 'NA']"
七事,"['qī', 'NA']"
七十,"['qī', 'NA']"
七十年代,"['qī', 'NA', 'NA', 'NA']"
七喜,"['qī', 'NA']"
七国集团,"['qī', 'NA', 'NA', 'NA']"
七声,"['qī', 'NA']"
七声音阶,"['qī', 'NA', 'NA', 'NA']"
七夕,"['qī', 'NA']"
七姊妹星团,"['qī', 'NA', 'NA', 'NA', 'NA']"
七孔,"['qī', 'NA']"
七层架构,"['qī', 'NA', 'NA', 'NA']"
七堵,"['qī', 'NA']"
七巧板,"['qī', 'NA', 'NA']"
七年之痒,"['qī', 'NA', 'NA', 'NA']"
七弦琴,"['qī', 'NA', 'NA']"
七彩,"['qī', 'NA']"
七律,"['qī', 'NA']"
七情,"['qī', 'NA']"
七政四余,"['qī', 'NA', 'NA', 'NA']"
七方,"['qī', 'NA']"
七日热,"['qī', 'NA', 'NA']"
七旬老人,"['qī', 'NA', 'NA', 'NA']"
七星,"['qī', 'NA']"
七星瓢虫,"['qī', 'NA', 'NA', 'NA']"
七曜,"['qī', 'NA']"
七月,"['qī', 'NA']"
七月份,"['qī', 'NA', 'NA']"
七武士,"['qī', 'NA', 'NA']"
七河州,"['qī', 'NA', 'NA']"
七碳糖,"['qī', 'NA', 'NA']"
七窍,"['qī', 'NA']"
七级浮屠,"['qī', 'NA', 'NA', 'NA']"
七美,"['qī', 'NA']"
七美乡,"['qī', 'NA', 'NA']"
七股,"['qī', 'NA']"
七股乡,"['qī', 'NA', 'NA']"
七言律诗,"['qī', 'NA', 'NA', 'NA']"
七项全能,"['qī', 'NA', 'NA', 'NA']"
七鳃鳗,"['qī', 'NA', 'NA']"
七龙珠,"['qī', 'NA', 'NA']"
万一,"['wàn', 'NA']"
万丈,"['wàn', 'NA']"
万世,"['wàn', 'NA']"
万世师表,"['wàn', 'NA', 'NA', 'NA']"
万丹,"['wàn', 'NA']"
万丹乡,"['wàn', 'NA', 'NA']"
万事,"['wàn', 'NA']"
只欠东风,"['zhǐ', 'NA', 'NA', 'NA']"
万事如意,"['wàn', 'NA', 'NA', 'NA']"
万事皆备,"['wàn', 'NA', 'NA', 'NA']"
只欠东风,"['zhǐ', 'NA', 'NA', 'NA']"
万事达,"['wàn', 'NA', 'NA']"
万人,"['wàn', 'NA']"
万人之敌,"['wàn', 'NA', 'NA', 'NA']"
万人敌,"['wàn', 'NA', 'NA']"
万代,"['wàn', 'NA']"
万代千秋,"['wàn', 'NA', 'NA', 'NA']"
万代兰,"['wàn', 'NA', 'NA']"
万众一心,"['wàn', 'NA', 'NA', 'NA']"
万位,"['wàn', 'NA']"
万元户,"['wàn', 'NA', 'NA']"
万劫不复,"['wàn', 'NA', 'NA', 'NA']"
万千,"['wàn', 'NA']"
万历,"['wàn', 'NA']"
万县,"['wàn', 'NA']"
万县港,"['wàn', 'NA', 'NA']"
万古千秋,"['wàn', 'NA', 'NA', 'NA']"
万名,"['wàn', 'NA']"
万国,"['wàn', 'NA']"
万国宫,"['wàn', 'NA', 'NA']"
万国码,"['wàn', 'NA', 'NA']"
万国邮联,"['wàn', 'NA', 'NA', 'NA']"
万全,"['wàn', 'NA']"
万全县,"['wàn', 'NA', 'NA']"
万安,"['wàn', 'NA']"
万安县,"['wàn', 'NA', 'NA']"
万宝路,"['wàn', 'NA', 'NA']"
万寿山,"['wàn', 'NA', 'NA']"
万寿菊,"['wàn', 'NA', 'NA']"
万山镇,"['wàn', 'NA', 'NA']"
万岁,"['wàn', 'NA']"
万峦,"['wàn', 'NA']"
万峦乡,"['wàn', 'NA', 'NA']"
万州,"['wàn', 'NA']"
万年,"['wàn', 'NA']"
万年历,"['wàn', 'NA', 'NA']"
万年县,"['wàn', 'NA', 'NA']"
万年青,"['wàn', 'NA', 'NA']"
万户,"['wàn', 'NA']"
万死不辞,"['wàn', 'NA', 'NA', 'NA']"
万民,"['wàn', 'NA']"
万水千山,"['wàn', 'NA', 'NA', 'NA']"
万泉河,"['wàn', 'NA', 'NA']"
万洋山,"['wàn', 'NA', 'NA']"
万源,"['wàn', 'NA']"
万灵丹,"['wàn', 'NA', 'NA']"
万物,"['wàn', 'NA']"
万用表,"['wàn', 'NA', 'NA']"
万维网,"['wàn', 'NA', 'NA']"
万能,"['wàn', 'NA']"
万能梗,"['wàn', 'NA', 'NA']"
万能梗犬,"['wàn', 'NA', 'NA', 'NA']"
万花筒,"['wàn', 'NA', 'NA']"
万荣,"['wàn', 'NA']"
万荣乡,"['wàn', 'NA', 'NA']"
万荣县,"['wàn', 'NA', 'NA']"
万象,"['wàn', 'NA']"
万豪,"['wàn', 'NA']"
万贯,"['wàn', 'NA']"
万邦,"['wàn', 'NA']"
万金油,"['wàn', 'NA', 'NA']"
万顷,"['wàn', 'NA']"
丈二和尚,"['NA', 'NA', 'hé', 'NA']"
丈夫,"['NA', 'fu']"
丈量,"['NA', 'liáng']"
三七二十一,"['NA', 'qī', 'NA', 'NA', 'NA']"
三七开,"['NA', 'qī', 'NA']"
三个世界,"['NA', 'gè', 'NA', 'NA']"
三个代表,"['NA', 'gè', 'NA', 'NA']"
三亚市,"['NA', 'NA', 'shì']"
三人成虎,"['NA', 'NA', 'NA', 'hǔ']"
三人行,"['NA', 'NA', 'xíng']"
则必有我师,"['NA', 'NA', 'yǒu', 'NA', 'NA']"
三人行,"['NA', 'NA', 'xíng']"
必有我师,"['NA', 'yǒu', 'NA', 'NA']"
三仇,"['NA', 'chóu']"
三从四德,"['NA', 'cóng', 'NA', 'NA']"
三代同堂,"['NA', 'NA', 'tóng', 'NA']"
三令五申,"['NA', 'lìng', 'NA', 'NA']"
三价,"['NA', 'jià']"
三位一体,"['NA', 'NA', 'NA', 'tǐ']"
三体,"['NA', 'tǐ']"
三体问题,"['NA', 'tǐ', 'NA', 'NA']"
三元区,"['NA', 'NA', 'qū']"
三分,"['NA', 'fēn']"
三分之一,"['NA', 'fēn', 'NA', 'NA']"
三十六字母,"['NA', 'NA', 'liù', 'NA', 'NA']"
三十六计,"['NA', 'NA', 'liù', 'NA']"
三十六计,"['NA', 'NA', 'liù', 'NA']"
三叉戟,"['NA', 'chā', 'NA']"
三只手,"['NA', 'zhī', 'NA']"
三台,"['NA', 'tái']"
三台县,"['NA', 'tái', 'NA']"
三叶星云,"['NA', 'yè', 'NA', 'NA']"
三叶草,"['NA', 'yè', 'NA']"
三叶虫,"['NA', 'yè', 'NA']"
三号电池,"['NA', 'hào', 'NA', 'NA']"
三叠纪,"['NA', 'NA', 'jì']"
三合一,"['NA', 'hé', 'NA']"
三合一疫苗,"['NA', 'hé', 'NA', 'NA', 'NA']"
三合土,"['NA', 'hé', 'NA']"
三合星,"['NA', 'hé', 'NA']"
三和弦,"['NA', 'hé', 'NA']"
三地门,"['NA', 'dì', 'NA']"
三地门乡,"['NA', 'dì', 'NA', 'NA']"
三天不打,"['NA', 'NA', 'NA', 'dǎ']"
三天两头,"['NA', 'NA', 'NA', 'tóu']"
三天打鱼,"['NA', 'NA', 'dǎ', 'NA']"
三头肌,"['NA', 'tóu', 'NA']"
三夷教,"['NA', 'NA', 'jiào']"
三姑六婆,"['NA', 'NA', 'liù', 'NA']"
三八,"['NA', 'bā']"
三八线,"['NA', 'bā', 'NA']"
三公经费,"['NA', 'NA', 'jīng', 'NA']"
三字经,"['NA', 'NA', 'jīng']"
三官大帝,"['NA', 'NA', 'dà', 'NA']"
三宝太监,"['NA', 'NA', 'NA', 'jiàn']"
三家村,"['NA', 'jiā', 'NA']"
三对三斗牛,"['NA', 'NA', 'NA', 'dòu', 'NA']"
三尖杉酯碱,"['NA', 'NA', 'shān', 'NA', 'NA']"
三山区,"['NA', 'NA', 'qū']"
三峡大坝,"['NA', 'NA', 'dà', 'NA']"
三年五载,"['NA', 'NA', 'NA', 'zǎi']"
三度,"['NA', 'dù']"
三得利,"['NA', 'dé', 'NA']"
三教,"['NA', 'jiào']"
三教九流,"['NA', 'jiào', 'NA', 'NA']"
三旬九食,"['NA', 'NA', 'NA', 'shí']"
三明市,"['NA', 'NA', 'shì']"
三更,"['NA', 'gēng']"
三更半夜,"['NA', 'gēng', 'NA', 'NA']"
三权分立,"['NA', 'NA', 'fēn', 'NA']"
三框栏,"['NA', 'kuàng', 'NA']"
三棱草,"['NA', 'léng', 'NA']"
三棱镜,"['NA', 'léng', 'NA']"
三次曲线,"['NA', 'NA', 'qū', 'NA']"
三段论,"['NA', 'NA', 'lùn']"
三毛猫,"['NA', 'NA', 'māo']"
三民区,"['NA', 'NA', 'qū']"
三氟化硼,"['NA', 'NA', 'huà', 'NA']"
三氯化磷,"['NA', 'NA', 'huà', 'NA']"
三氯化铁,"['NA', 'NA', 'huà', 'NA']"
三氯已烯,"['NA', 'NA', 'yǐ', 'NA']"
三氯已烷,"['NA', 'NA', 'yǐ', 'NA']"
三水区,"['NA', 'NA', 'qū']"
三江侗族自治县,"['NA', 'NA', 'dòng', 'NA', 'NA', 'NA', 'NA']"
三江并流,"['NA', 'NA', 'bìng', 'NA']"
三江生态旅游区,"['NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'qū']"
三河市,"['NA', 'NA', 'shì']"
三班倒,"['NA', 'NA', 'dǎo']"
三生有幸,"['NA', 'NA', 'yǒu', 'NA']"
三番五次,"['NA', 'fān', 'NA', 'NA']"
三皇炮捶,"['NA', 'NA', 'pào', 'NA']"
三等分,"['NA', 'NA', 'fēn']"
三索锦蛇,"['NA', 'NA', 'NA', 'shé']"
三级片,"['NA', 'NA', 'piàn']"
三脚两步,"['NA', 'jiǎo', 'NA', 'NA']"
三脚架,"['NA', 'jiǎo', 'NA']"
三色,"['NA', 'sè']"
三色堇,"['NA', 'sè', 'NA']"
三茶六饭,"['NA', 'NA', 'liù', 'NA']"
三藏,"['NA', 'zàng']"
三藏法师,"['NA', 'zàng', 'NA', 'NA']"
三藩市,"['NA', 'NA', 'shì']"
三角,"['NA', 'jiǎo']"
三角债,"['NA', 'jiǎo', 'NA']"
三角凳,"['NA', 'jiǎo', 'NA']"
三角学,"['NA', 'jiǎo', 'NA']"
三角座,"['NA', 'jiǎo', 'NA']"
三角形,"['NA', 'jiǎo', 'NA']"
三角恋爱,"['NA', 'jiǎo', 'NA', 'NA']"
三角恐龙,"['NA', 'jiǎo', 'NA', 'NA']"
三角板,"['NA', 'jiǎo', 'NA']"
三角法,"['NA', 'jiǎo', 'NA']"
三角洲,"['NA', 'jiǎo', 'NA']"
三角肌,"['NA', 'jiǎo', 'NA']"
三角裤,"['NA', 'jiǎo', 'NA']"
三角腹带,"['NA', 'jiǎo', 'NA', 'NA']"
三角锥,"['NA', 'jiǎo', 'NA']"
三角龙,"['NA', 'jiǎo', 'NA']"
三言两句,"['NA', 'NA', 'NA', 'jù']"
三言两语,"['NA', 'NA', 'NA', 'yǔ']"
三论宗,"['NA', 'lùn', 'NA']"
三貂角,"['NA', 'NA', 'jiǎo']"
三足乌,"['NA', 'NA', 'wū']"
三足金乌,"['NA', 'NA', 'NA', 'wū']"
三轮车,"['NA', 'NA', 'chē']"
三边形,"['NA', 'biān', 'NA']"
三连胜,"['NA', 'NA', 'shèng']"
三迭纪,"['NA', 'NA', 'jì']"
三通,"['NA', 'tōng']"
三部曲,"['NA', 'NA', 'qǔ']"
三都县,"['NA', 'dū', 'NA']"
三都水族自治县,"['NA', 'dū', 'NA', 'NA', 'NA', 'NA', 'NA']"
三里河,"['NA', 'lǐ', 'NA']"
三重,"['NA', 'chóng']"
三重县,"['NA', 'chóng', 'NA']"
三重奏,"['NA', 'chóng', 'NA']"
三长两短,"['NA', 'cháng', 'NA', 'NA']"
三门峡市,"['NA', 'NA', 'NA', 'shì']"
三阿姨,"['NA', 'ā', 'NA']"
三音度,"['NA', 'NA', 'dù']"
三马同槽,"['NA', 'NA', 'tóng', 'NA']"
三驾马车,"['NA', 'NA', 'NA', 'chē']"
三鲜,"['NA', 'xiān']"
上一页,"['shàng', 'NA', 'NA']"
上下,"['shàng', 'NA']"
上下五千年,"['shàng', 'NA', 'NA', 'NA', 'NA']"
上下床,"['shàng', 'NA', 'NA']"
上下文,"['shàng', 'NA', 'NA']"
上下班,"['shàng', 'NA', 'NA']"
上书,"['shàng', 'NA']"
上交,"['shàng', 'NA']"
上代,"['shàng', 'NA']"
上位,"['shàng', 'NA']"
上位概念,"['shàng', 'NA', 'NA', 'NA']"
上农,"['shàng', 'NA']"
上前,"['shàng', 'NA']"
上升,"['shàng', 'NA']"
上升趋势,"['shàng', 'NA', 'NA', 'NA']"
上午,"['shàng', 'NA']"
上半,"['shàng', 'NA']"
上半夜,"['shàng', 'NA', 'NA']"
上半天,"['shàng', 'NA', 'NA']"
上半年,"['shàng', 'NA', 'NA']"
上半晌,"['shàng', 'NA', 'NA']"
上半身,"['shàng', 'NA', 'NA']"
上去,"['shàng', 'NA']"
上口,"['shàng', 'NA']"
上口齿,"['shàng', 'NA', 'NA']"
上古,"['shàng', 'NA']"
上司,"['shàng', 'NA']"
上吊,"['shàng', 'NA']"
上周,"['shàng', 'NA']"
上呼吸道感染,"['shàng', 'NA', 'NA', 'NA', 'NA', 'NA']"
上唇,"['shàng', 'NA']"
上回,"['shàng', 'NA']"
上坟,"['shàng', 'NA']"
上坡,"['shàng', 'NA']"
上坡段,"['shàng', 'NA', 'NA']"
上坡路,"['shàng', 'NA', 'NA']"
上域,"['shàng', 'NA']"
上声,"['shǎng', 'NA']"
上外,"['shàng', 'NA']"
上夜,"['shàng', 'NA']"
上天,"['shàng', 'NA']"
上夸克,"['shàng', 'NA', 'NA']"
上学,"['shàng', 'NA']"
上官,"['shàng', 'NA']"
上层,"['shàng', 'NA']"
上山,"['shàng', 'NA']"
上山下乡,"['shàng', 'NA', 'NA', 'NA']"
上岸,"['shàng', 'NA']"
上工,"['shàng', 'NA']"
上帝,"['shàng', 'NA']"
上床,"['shàng', 'NA']"
上座,"['shàng', 'NA']"
上座部,"['shàng', 'NA', 'NA']"
上弦,"['shàng', 'NA']"
上弦月,"['shàng', 'NA', 'NA']"
上心,"['shàng', 'NA']"
上标,"['shàng', 'NA']"
上房,"['shàng', 'NA']"
上手,"['shàng', 'NA']"
上扬,"['shàng', 'NA']"
上扬趋势,"['shàng', 'NA', 'NA', 'NA']"
上报,"['shàng', 'NA']"
上文,"['shàng', 'NA']"
上新世,"['shàng', 'NA', 'NA']"
上方宝剑,"['shàng', 'NA', 'NA', 'NA']"
上栗,"['shàng', 'NA']"
上旬,"['shàng', 'NA']"
上栗县,"['shàng', 'NA', 'NA']"
上映,"['shàng', 'NA']"
