许和,"['NA', 'hé']","['NA', 'hé']"
讲和,"['NA', 'hé']","['NA', 'hé']"
议和,"['NA', 'hé']","['NA', 'hé']"
西和,"['NA', 'hé']","['NA', 'hé']"
融和,"['NA', 'hé']","['NA', 'hé']"
蕴和,"['NA', 'hé']","['NA', 'hé']"
缓和,"['NA', 'hé']","['NA', 'hé']"
上校,"['shàng', 'xiào']","['shàng', 'xiào']"
上思,"['shàng', 'sī']","['shàng', 'sī']"
上市,"['shàng', 'shì']","['shàng', 'shì']"
上岗,"['shàng', 'gǎng']","['shàng', 'gǎng']"
上尉,"['shàng', 'wèi']","['shàng', 'wèi']"
上将,"['shàng', 'jiàng']","['shàng', 'jiàng']"
上家,"['shàng', 'jiā']","['shàng', 'jiā']"
上好,"['shàng', 'hǎo']","['shàng', 'hǎo']"
上场,"['shàng', 'chǎng']","['shàng', 'chǎng']"
上合,"['shàng', 'hé']","['shàng', 'hé']"
上台,"['shàng', 'tái']","['shàng', 'tái']"
上任,"['shàng', 'rèn']","['shàng', 'rèn']"
上乘,"['shàng', 'chéng']","['shàng', 'chéng']"
上万,"['shàng', 'wàn']","['shàng', 'wàn']"
马上,"['NA', 'shàng']","['NA', 'shàng']"
<unk>上,"['NA', 'shàng']","['NA', 'shàng']"
顶上,"['NA', 'shàng']","['NA', 'shàng']"
附上,"['NA', 'shàng']","['NA', 'shàng']"
锁上,"['NA', 'shàng']","['NA', 'shàng']"
追上,"['NA', 'shàng']","['NA', 'shàng']"
迷上,"['NA', 'shàng']","['NA', 'shàng']"
跟上,"['NA', 'shàng']","['NA', 'shàng']"
赶上,"['NA', 'shàng']","['NA', 'shàng']"
<unk>上,"['NA', 'shàng']","['NA', 'shàng']"
至上,"['NA', 'shàng']","['NA', 'shàng']"
考上,"['NA', 'shàng']","['NA', 'shàng']"
网上,"['NA', 'shàng']","['NA', 'shàng']"
线上,"['NA', 'shàng']","['NA', 'shàng']"
端上,"['NA', 'shàng']","['NA', 'shàng']"
碰上,"['NA', 'shàng']","['NA', 'shàng']"
登上,"['NA', 'shàng']","['NA', 'shàng']"
甩上,"['NA', 'shàng']","['NA', 'shàng']"
班上,"['NA', 'shàng']","['NA', 'shàng']"
献上,"['NA', 'shàng']","['NA', 'shàng']"
犯上,"['NA', 'shàng']","['NA', 'shàng']"
爱上,"['NA', 'shàng']","['NA', 'shàng']"
爬上,"['NA', 'shàng']","['NA', 'shàng']"
淮上,"['NA', 'shàng']","['NA', 'shàng']"
海上,"['NA', 'shàng']","['NA', 'shàng']"
瞒哄,"['NA', 'hǒng']","['NA', 'hǒng']"
红堡,"['hóng', 'bǎo']","['hóng', 'bǎo']"
发红,"['fā', 'hóng']","['fā', 'hóng']"
飞红,"['NA', 'hóng']","['NA', 'hóng']"
银红,"['NA', 'hóng']","['NA', 'hóng']"
透红,"['NA', 'hóng']","['NA', 'hóng']"
走红,"['NA', 'hóng']","['NA', 'hóng']"
腮红,"['NA', 'hóng']","['NA', 'hóng']"
萧红,"['NA', 'hóng']","['NA', 'hóng']"
花红,"['NA', 'hóng']","['NA', 'hóng']"
脸红,"['NA', 'hóng']","['NA', 'hóng']"
羞红,"['NA', 'hóng']","['NA', 'hóng']"
<unk>红,"['NA', 'hóng']","['NA', 'hóng']"
红<unk>,"['hóng', 'NA']","['hóng', 'NA']"
红颜,"['hóng', 'NA']","['hóng', 'NA']"
红领,"['hóng', 'NA']","['hóng', 'NA']"
红隼,"['hóng', 'NA']","['hóng', 'NA']"
红铜,"['hóng', 'NA']","['hóng', 'NA']"
红运,"['hóng', 'NA']","['hóng', 'NA']"
红轮,"['hóng', 'NA']","['hóng', 'NA']"
同济,"['tóng', 'jì']","['tóng', 'jì']"
同期,"['tóng', 'qī']","['tóng', 'qī']"
同化,"['tóng', 'huà']","['tóng', 'huà']"
雷同,"['NA', 'tóng']","['NA', 'tóng']"
随同,"['NA', 'tóng']","['NA', 'tóng']"
陪同,"['NA', 'tóng']","['NA', 'tóng']"
连同,"['NA', 'tóng']","['NA', 'tóng']"
趋同,"['NA', 'tóng']","['NA', 'tóng']"
赞同,"['NA', 'tóng']","['NA', 'tóng']"
认同,"['NA', 'tóng']","['NA', 'tóng']"
视同,"['NA', 'tóng']","['NA', 'tóng']"
苟同,"['NA', 'tóng']","['NA', 'tóng']"
等同,"['NA', 'tóng']","['NA', 'tóng']"
男同,"['NA', 'tóng']","['NA', 'tóng']"
求同,"['NA', 'tóng']","['NA', 'tóng']"
头号,"['tóu', 'hào']","['tóu', 'hào']"
号脉,"['hào', 'mài']","['hào', 'mài']"
号称,"['hào', 'chēng']","['hào', 'chēng']"
号炮,"['hào', 'pào']","['hào', 'pào']"
号数,"['hào', 'shù']","['hào', 'shù']"
号头,"['hào', 'tóu']","['hào', 'tóu']"
号召,"['hào', 'zhào']","['hào', 'zhào']"
号令,"['hào', 'lìng']","['hào', 'lìng']"
单号,"['dān', 'hào']","['dān', 'hào']"
区号,"['qū', 'hào']","['qū', 'hào']"
别号,"['bié', 'hào']","['bié', 'hào']"
佛号,"['fó', 'hào']","['fó', 'hào']"
乘号,"['chéng', 'hào']","['chéng', 'hào']"
除号,"['NA', 'hào']","['NA', 'hào']"
问号,"['NA', 'hào']","['NA', 'hào']"
逗号,"['NA', 'hào']","['NA', 'hào']"
腿号,"['NA', 'hào']","['NA', 'hào']"
连号,"['NA', 'hào']","['NA', 'hào']"
账号,"['NA', 'hào']","['NA', 'hào']"
负号,"['NA', 'hào']","['NA', 'hào']"
<unk>号,"['NA', 'hào']","['NA', 'hào']"
合叶,"['hé', 'yè']","['hé', 'yè']"
叶脉,"['yè', 'mài']","['yè', 'mài']"
叶片,"['yè', 'piàn']","['yè', 'piàn']"
什叶,"['shí', 'yè']","['shí', 'yè']"
香叶,"['NA', 'yè']","['NA', 'yè']"
颞叶,"['NA', 'yè']","['NA', 'yè']"
额叶,"['NA', 'yè']","['NA', 'yè']"
顶叶,"['NA', 'yè']","['NA', 'yè']"
阔叶,"['NA', 'yè']","['NA', 'yè']"
银叶,"['NA', 'yè']","['NA', 'yè']"
针叶,"['NA', 'yè']","['NA', 'yè']"
单句,"['dān', 'jù']","['dān', 'jù']"
从句,"['cóng', 'jù']","['cóng', 'jù']"
造句,"['NA', 'jù']","['NA', 'jù']"
诗句,"['NA', 'jù']","['NA', 'jù']"
词句,"['NA', 'jù']","['NA', 'jù']"
警句,"['NA', 'jù']","['NA', 'jù']"
觅句,"['NA', 'jù']","['NA', 'jù']"
胖子,"['pàng', 'NA']","['pàng', 'NA']"
锁匙,"['NA', 'chí']","['NA', 'chí']"
分裂,"['fēn', 'liè']","['fēn', 'liè']"
分节,"['fēn', 'jié']","['fēn', 'jié']"
分色,"['fēn', 'sè']","['fēn', 'sè']"
分给,"['fēn', 'gěi']","['fēn', 'gěi']"
分红,"['fēn', 'hóng']","['fēn', 'hóng']"
分相,"['fēn', 'xiàng']","['fēn', 'xiàng']"
分瓦,"['fēn', 'wǎ']","['fēn', 'wǎ']"
分派,"['fēn', 'pài']","['fēn', 'pài']"
分校,"['fēn', 'xiào']","['fēn', 'xiào']"
分期,"['fēn', 'qī']","['fēn', 'qī']"
分数,"['fēn', 'shù']","['fēn', 'shù']"
分散,"['fēn', 'sàn']","['fēn', 'sàn']"
分度,"['fēn', 'dù']","['fēn', 'dù']"
分属,"['fēn', 'shǔ']","['fēn', 'shǔ']"
分家,"['fēn', 'jiā']","['fēn', 'jiā']"
分头,"['fēn', 'tóu']","['fēn', 'tóu']"
分号,"['fēn', 'hào']","['fēn', 'hào']"
分句,"['fēn', 'jù']","['fēn', 'jù']"
分发,"['fēn', 'fā']","['fēn', 'fā']"
分区,"['fēn', 'qū']","['fēn', 'qū']"
分化,"['fēn', 'huà']","['fēn', 'huà']"
分别,"['fēn', 'bié']","['fēn', 'bié']"
分为,"['fēn', 'wéi']","['fēn', 'wéi']"
万分,"['wàn', 'fēn']","['wàn', 'fēn']"
高分,"['NA', 'fēn']","['NA', 'fēn']"
负分,"['NA', 'fēn']","['NA', 'fēn']"
评分,"['NA', 'fēn']","['NA', 'fēn']"
计分,"['NA', 'fēn']","['NA', 'fēn']"
考分,"['NA', 'fēn']","['NA', 'fēn']"
美分,"['NA', 'fēn']","['NA', 'fēn']"
细分,"['NA', 'fēn']","['NA', 'fēn']"
等分,"['NA', 'fēn']","['NA', 'fēn']"
积分,"['NA', 'fēn']","['NA', 'fēn']"
秋分,"['NA', 'fēn']","['NA', 'fēn']"
百分,"['NA', 'fēn']","['NA', 'fēn']"
切要,"['qiè', 'yào']","['qiè', 'yào']"
切莫,"['qiè', 'mò']","['qiè', 'mò']"
切脉,"['qiè', 'mài']","['qiè', 'mài']"
切合,"['qiè', 'hé']","['qiè', 'hé']"
切切,"['qiè', 'qiè']","['qiè', 'qiè']"
贴切,"['NA', 'qiè']","['NA', 'qiè']"
莱切,"['NA', 'qiè']","['NA', 'qiè']"
确切,"['NA', 'qiè']","['NA', 'qiè']"
真切,"['NA', 'qiè']","['NA', 'qiè']"
热切,"['NA', 'qiè']","['NA', 'qiè']"
扎堆,"['zhā', 'duī']","['zhā', 'duī']"
堆芯,"['duī', 'xīn']","['duī', 'xīn']"
堆砌,"['duī', 'qì']","['duī', 'qì']"
数论,"['shù', 'lùn']","['shù', 'lùn']"
场论,"['chǎng', 'lùn']","['chǎng', 'lùn']"
别论,"['bié', 'lùn']","['bié', 'lùn']"
高论,"['NA', 'lùn']","['NA', 'lùn']"
<unk>论,"['NA', 'lùn']","['NA', 'lùn']"
迂论,"['NA', 'lùn']","['NA', 'lùn']"
辩论,"['NA', 'lùn']","['NA', 'lùn']"
谬论,"['NA', 'lùn']","['NA', 'lùn']"
谈论,"['NA', 'lùn']","['NA', 'lùn']"
大体,"['dà', 'tǐ']","['dà', 'tǐ']"
可体,"['kě', 'tǐ']","['kě', 'tǐ']"
单体,"['dān', 'tǐ']","['dān', 'tǐ']"
体魄,"['tǐ', 'pò']","['tǐ', 'pò']"
体量,"['tǐ', 'liàng']","['tǐ', 'liàng']"
体重,"['tǐ', 'zhòng']","['tǐ', 'zhòng']"
体育,"['tǐ', 'yù']","['tǐ', 'yù']"
体系,"['tǐ', 'xì']","['tǐ', 'xì']"
体格,"['tǐ', 'gé']","['tǐ', 'gé']"
体模,"['tǐ', 'mó']","['tǐ', 'mó']"
体校,"['tǐ', 'xiào']","['tǐ', 'xiào']"
体侧,"['tǐ', 'cè']","['tǐ', 'cè']"
黑体,"['NA', 'tǐ']","['NA', 'tǐ']"
黄体,"['NA', 'tǐ']","['NA', 'tǐ']"
骚体,"['NA', 'tǐ']","['NA', 'tǐ']"
<unk>体,"['NA', 'tǐ']","['NA', 'tǐ']"
颜体,"['NA', 'tǐ']","['NA', 'tǐ']"
韧体,"['NA', 'tǐ']","['NA', 'tǐ']"
集体,"['NA', 'tǐ']","['NA', 'tǐ']"
隶体,"['NA', 'tǐ']","['NA', 'tǐ']"
配体,"['NA', 'tǐ']","['NA', 'tǐ']"
遍体,"['NA', 'tǐ']","['NA', 'tǐ']"
连体,"['NA', 'tǐ']","['NA', 'tǐ']"
软体,"['NA', 'tǐ']","['NA', 'tǐ']"
腺体,"['NA', 'tǐ']","['NA', 'tǐ']"
<unk>体,"['NA', 'tǐ']","['NA', 'tǐ']"
身体,"['NA', 'tǐ']","['NA', 'tǐ']"
<unk>体,"['NA', 'tǐ']","['NA', 'tǐ']"
裸体,"['NA', 'tǐ']","['NA', 'tǐ']"
补体,"['NA', 'tǐ']","['NA', 'tǐ']"
草体,"['NA', 'tǐ']","['NA', 'tǐ']"
船体,"['NA', 'tǐ']","['NA', 'tǐ']"
正传,"['zhèng', 'zhuàn']","['zhèng', 'zhuàn']"
别传,"['bié', 'zhuàn']","['bié', 'zhuàn']"
传见,"['chuán', 'jiàn']","['chuán', 'jiàn']"
传教,"['chuán', 'jiào']","['chuán', 'jiào']"
传家,"['chuán', 'jiā']","['chuán', 'jiā']"
传奇,"['chuán', 'qí']","['chuán', 'qí']"
传发,"['chuán', 'fā']","['chuán', 'fā']"
传单,"['chuán', 'dān']","['chuán', 'dān']"
传写,"['chuán', 'xiě']","['chuán', 'xiě']"
约会,"['yuē', 'huì']","['yuē', 'huì']"
相会,"['xiāng', 'huì']","['xiāng', 'huì']"
大会,"['dà', 'huì']","['dà', 'huì']"
和会,"['hé', 'huì']","['hé', 'huì']"
分会,"['fēn', 'huì']","['fēn', 'huì']"
体会,"['tǐ', 'huì']","['tǐ', 'huì']"
会长,"['huì', 'zhǎng']","['huì', 'zhǎng']"
会见,"['huì', 'jiàn']","['huì', 'jiàn']"
会要,"['huì', 'yào']","['huì', 'yào']"
会盟,"['huì', 'méng']","['huì', 'méng']"
会期,"['huì', 'qī']","['huì', 'qī']"
会宁,"['huì', 'níng']","['huì', 'níng']"
会场,"['huì', 'chǎng']","['huì', 'chǎng']"
会员,"['huì', 'yuán']","['huì', 'yuán']"
会否,"['huì', 'fǒu']","['huì', 'fǒu']"
会同,"['huì', 'tóng']","['huì', 'tóng']"
会合,"['huì', 'hé']","['huì', 'hé']"
香会,"['NA', 'huì']","['NA', 'huì']"
价格,"['jià', 'gé']","['jià', 'gé']"
高价,"['NA', 'jià']","['NA', 'jià']"
限价,"['NA', 'jià']","['NA', 'jià']"
配价,"['NA', 'jià']","['NA', 'jià']"
鉴价,"['NA', 'jià']","['NA', 'jià']"
造价,"['NA', 'jià']","['NA', 'jià']"
进价,"['NA', 'jià']","['NA', 'jià']"
运价,"['NA', 'jià']","['NA', 'jià']"
身价,"['NA', 'jià']","['NA', 'jià']"
跳价,"['NA', 'jià']","['NA', 'jià']"
跌价,"['NA', 'jià']","['NA', 'jià']"
起价,"['NA', 'jià']","['NA', 'jià']"
谎价,"['NA', 'jià']","['NA', 'jià']"
谈价,"['NA', 'jià']","['NA', 'jià']"
询价,"['NA', 'jià']","['NA', 'jià']"
评价,"['NA', 'jià']","['NA', 'jià']"
讲价,"['NA', 'jià']","['NA', 'jià']"
议价,"['NA', 'jià']","['NA', 'jià']"
计价,"['NA', 'jià']","['NA', 'jià']"
股价,"['NA', 'jià']","['NA', 'jià']"
索价,"['NA', 'jià']","['NA', 'jià']"
等价,"['NA', 'jià']","['NA', 'jià']"
竞价,"['NA', 'jià']","['NA', 'jià']"
亲王,"['qīn', 'wáng']","['qīn', 'wáng']"
亲属,"['qīn', 'shǔ']","['qīn', 'shǔ']"
亲切,"['qīn', 'qiè']","['qīn', 'qiè']"
亲亲,"['qīn', 'qīn']","['qīn', 'qīn']"
远亲,"['NA', 'qīn']","['NA', 'qīn']"
近亲,"['NA', 'qīn']","['NA', 'qīn']"
迎亲,"['NA', 'qīn']","['NA', 'qīn']"
躬亲,"['NA', 'qīn']","['NA', 'qīn']"
许亲,"['NA', 'qīn']","['NA', 'qīn']"
认亲,"['NA', 'qīn']","['NA', 'qīn']"
表亲,"['NA', 'qīn']","['NA', 'qīn']"
茂亲,"['NA', 'qīn']","['NA', 'qīn']"
至亲,"['NA', 'qīn']","['NA', 'qīn']"
继亲,"['NA', 'qīn']","['NA', 'qīn']"
睦亲,"['NA', 'qīn']","['NA', 'qīn']"
母亲,"['NA', 'qīn']","['NA', 'qīn']"
八角,"['bā', 'jiǎo']","['bā', 'jiǎo']"
八度,"['bā', 'dù']","['bā', 'dù']"
八宿,"['bā', 'sù']","['bā', 'sù']"
无着,"['wú', 'zhuó']","['wú', 'zhuó']"
无烟,"['wú', 'yān']","['wú', 'yān']"
无核,"['wú', 'hé']","['wú', 'hé']"
无已,"['wú', 'yǐ']","['wú', 'yǐ']"
无处,"['wú', 'chù']","['wú', 'chù']"
无为,"['wú', 'wéi']","['wú', 'wéi']"
别无,"['bié', 'wú']","['bié', 'wú']"
了得,"['liǎo', 'de']","['liǎo', 'de']"
记得,"['NA', 'de']","['NA', 'de']"
认得,"['NA', 'de']","['NA', 'de']"
得色,"['dé', 'sè']","['dé', 'sè']"
得胜,"['dé', 'shèng']","['dé', 'shèng']"
得了,"['dé', 'le']","['dé', 'le']"
家中,"['jiā', 'zhōng']","['jiā', 'zhōng']"
台中,"['tái', 'zhōng']","['tái', 'zhōng']"
华中,"['huá', 'zhōng']","['huá', 'zhōng']"
便中,"['biàn', 'zhōng']","['biàn', 'zhōng']"
从中,"['cóng', 'zhōng']","['cóng', 'zhōng']"
中间,"['zhōng', 'jiān']","['zhōng', 'jiān']"
中轴,"['zhōng', 'zhóu']","['zhōng', 'zhóu']"
中转,"['zhōng', 'zhuǎn']","['zhōng', 'zhuǎn']"
中脊,"['zhōng', 'jǐ']","['zhōng', 'jǐ']"
中空,"['zhōng', 'kōng']","['zhōng', 'kōng']"
中校,"['zhōng', 'xiào']","['zhōng', 'xiào']"
中期,"['zhōng', 'qī']","['zhōng', 'qī']"
中朝,"['zhōng', 'cháo']","['zhōng', 'cháo']"
中尉,"['zhōng', 'wèi']","['zhōng', 'wèi']"
中将,"['zhōng', 'jiàng']","['zhōng', 'jiàng']"
中场,"['zhōng', 'chǎng']","['zhōng', 'chǎng']"
中和,"['zhōng', 'hé']","['zhōng', 'hé']"
中号,"['zhōng', 'hào']","['zhōng', 'hào']"
中叶,"['zhōng', 'yè']","['zhōng', 'yè']"
中台,"['zhōng', 'tái']","['zhōng', 'tái']"
中南,"['zhōng', 'nán']","['zhōng', 'nán']"
中华,"['zhōng', 'huá']","['zhōng', 'huá']"
中区,"['zhōng', 'qū']","['zhōng', 'qū']"
个把,"['gè', 'bǎ']","['gè', 'bǎ']"
个头,"['gè', 'tóu']","['gè', 'tóu']"
个别,"['gè', 'bié']","['gè', 'bié']"
个体,"['gè', 'tǐ']","['gè', 'tǐ']"
个中,"['gè', 'zhōng']","['gè', 'zhōng']"
个个,"['gè', 'gè']","['gè', 'gè']"
家丁,"['jiā', 'dīng']","['jiā', 'dīng']"
丁宁,"['dīng', 'níng']","['dīng', 'níng']"
丁丁,"['dīng', 'dīng']","['dīng', 'dīng']"
鸡丁,"['NA', 'dīng']","['NA', 'dīng']"
马丁,"['NA', 'dīng']","['NA', 'dīng']"
零丁,"['NA', 'dīng']","['NA', 'dīng']"
肉丁,"['NA', 'dīng']","['NA', 'dīng']"
猛丁,"['NA', 'dīng']","['NA', 'dīng']"
供应,"['gōng', 'yìng']","['gōng', 'yìng']"
酬应,"['NA', 'yìng']","['NA', 'yìng']"
顺应,"['NA', 'yìng']","['NA', 'yìng']"
策应,"['NA', 'yìng']","['NA', 'yìng']"
照应,"['NA', 'yìng']","['NA', 'yìng']"
尾数,"['wěi', 'shù']","['wěi', 'shù']"
少数,"['shǎo', 'shù']","['shǎo', 'shù']"
参数,"['cān', 'shù']","['cān', 'shù']"
单数,"['dān', 'shù']","['dān', 'shù']"
作数,"['zuò', 'shù']","['zuò', 'shù']"
楷模,"['kǎi', 'mó']","['kǎi', 'mó']"
指模,"['zhǐ', 'mó']","['zhǐ', 'mó']"
单模,"['dān', 'mó']","['dān', 'mó']"
酸模,"['NA', 'mó']","['NA', 'mó']"
超模,"['NA', 'mó']","['NA', 'mó']"
冲服,"['chōng', 'fú']","['chōng', 'fú']"
伺服,"['sì', 'fú']","['sì', 'fú']"
<unk>服,"['NA', 'fú']","['NA', 'fú']"
顺服,"['NA', 'fú']","['NA', 'fú']"
韩服,"['NA', 'fú']","['NA', 'fú']"
队服,"['NA', 'fú']","['NA', 'fú']"
送服,"['NA', 'fú']","['NA', 'fú']"
诚服,"['NA', 'fú']","['NA', 'fú']"
警服,"['NA', 'fú']","['NA', 'fú']"
西服,"['NA', 'fú']","['NA', 'fú']"
臣服,"['NA', 'fú']","['NA', 'fú']"
礼服,"['NA', 'fú']","['NA', 'fú']"
满服,"['NA', 'fú']","['NA', 'fú']"
杆菌,"['gǎn', 'jūn']","['gǎn', 'jūn']"
顶杆,"['NA', 'gǎn']","['NA', 'gǎn']"
万隆,"['wàn', 'lóng']","['wàn', 'lóng']"
万里,"['wàn', 'lǐ']","['wàn', 'lǐ']"
万般,"['wàn', 'bān']","['wàn', 'bān']"
万有,"['wàn', 'yǒu']","['wàn', 'yǒu']"
万恶,"['wàn', 'è']","['wàn', 'è']"
万华,"['wàn', 'huá']","['wàn', 'huá']"
朝着,"['cháo', 'zhe']","['cháo', 'zhe']"
六朝,"['liù', 'cháo']","['liù', 'cháo']"
南朝,"['nán', 'cháo']","['nán', 'cháo']"
齿更,"['NA', 'gēng']","['NA', 'gēng']"
炒更,"['NA', 'gēng']","['NA', 'gēng']"
更鼓,"['gēng', 'NA']","['gēng', 'NA']"
更阑,"['gēng', 'NA']","['gēng', 'NA']"
更递,"['gēng', 'NA']","['gēng', 'NA']"
更迭,"['gēng', 'NA']","['gēng', 'NA']"
更生,"['gēng', 'NA']","['gēng', 'NA']"
更漏,"['gēng', 'NA']","['gēng', 'NA']"
风暴,"['NA', 'bào']","['NA', 'bào']"
<unk>暴,"['NA', 'bào']","['NA', 'bào']"
雷暴,"['NA', 'bào']","['NA', 'bào']"
除暴,"['NA', 'bào']","['NA', 'bào']"
防暴,"['NA', 'bào']","['NA', 'bào']"
镇暴,"['NA', 'bào']","['NA', 'bào']"
晃荡,"['huàng', 'NA']","['huàng', 'NA']"
间隙,"['jiàn', 'NA']","['jiàn', 'NA']"
间隔,"['jiàn', 'NA']","['jiàn', 'NA']"
其间,"['qí', 'jiān']","['qí', 'jiān']"
区间,"['qū', 'jiān']","['qū', 'jiān']"
旋里,"['xuán', 'lǐ']","['xuán', 'lǐ']"
拉里,"['lā', 'lǐ']","['lā', 'lǐ']"
哪里,"['nǎ', 'lǐ']","['nǎ', 'lǐ']"
哈里,"['hā', 'lǐ']","['hā', 'lǐ']"
华里,"['huá', 'lǐ']","['huá', 'lǐ']"
雅各,"['yǎ', 'gè']","['yǎ', 'gè']"
高雅,"['NA', 'yǎ']","['NA', 'yǎ']"
马雅,"['NA', 'yǎ']","['NA', 'yǎ']"
雅<unk>,"['yǎ', 'NA']","['yǎ', 'NA']"
雅<unk>,"['yǎ', 'NA']","['yǎ', 'NA']"
雅静,"['yǎ', 'NA']","['yǎ', 'NA']"
雅集,"['yǎ', 'NA']","['yǎ', 'NA']"
雅阁,"['yǎ', 'NA']","['yǎ', 'NA']"
雅郑,"['yǎ', 'NA']","['yǎ', 'NA']"
雅言,"['yǎ', 'NA']","['yǎ', 'NA']"
雅芳,"['yǎ', 'NA']","['yǎ', 'NA']"
雅致,"['yǎ', 'NA']","['yǎ', 'NA']"
有为,"['yǒu', 'wéi']","['yǒu', 'wéi']"
华为,"['huá', 'wéi']","['huá', 'wéi']"
作为,"['zuò', 'wéi']","['zuò', 'wéi']"
为重,"['wéi', 'zhòng']","['wéi', 'zhòng']"
抛掷,"['NA', 'zhì']","['NA', 'zhì']"
鸡排,"['NA', 'pái']","['NA', 'pái']"
鱼排,"['NA', 'pái']","['NA', 'pái']"
自排,"['NA', 'pái']","['NA', 'pái']"
羊排,"['NA', 'pái']","['NA', 'pái']"
编排,"['NA', 'pái']","['NA', 'pái']"
竹排,"['NA', 'pái']","['NA', 'pái']"
男排,"['NA', 'pái']","['NA', 'pái']"
猪排,"['NA', 'pái']","['NA', 'pái']"
牛排,"['NA', 'pái']","['NA', 'pái']"
排雷,"['pái', 'NA']","['pái', 'NA']"
排除,"['pái', 'NA']","['pái', 'NA']"
排队,"['pái', 'NA']","['pái', 'NA']"
排错,"['pái', 'NA']","['pái', 'NA']"
排遣,"['pái', 'NA']","['pái', 'NA']"
排萧,"['pái', 'NA']","['pái', 'NA']"
排舞,"['pái', 'NA']","['pái', 'NA']"
综合,"['zōng', 'hé']","['zōng', 'hé']"
经合,"['jīng', 'hé']","['jīng', 'hé']"
约合,"['yuē', 'hé']","['yuē', 'hé']"
相合,"['xiāng', 'hé']","['xiāng', 'hé']"
砌合,"['qì', 'hé']","['qì', 'hé']"
混合,"['hùn', 'hé']","['hùn', 'hé']"
契合,"['qì', 'hé']","['qì', 'hé']"
场合,"['chǎng', 'hé']","['chǎng', 'hé']"
合适,"['hé', 'shì']","['hé', 'shì']"
合脚,"['hé', 'jiǎo']","['hé', 'jiǎo']"
合约,"['hé', 'yuē']","['hé', 'yuē']"
合称,"['hé', 'chēng']","['hé', 'chēng']"
合着,"['hé', 'zhe']","['hé', 'zhe']"
合格,"['hé', 'gé']","['hé', 'gé']"
合数,"['hé', 'shù']","['hé', 'shù']"
合扇,"['hé', 'shàn']","['hé', 'shàn']"
合当,"['hé', 'dāng']","['hé', 'dāng']"
合同,"['hé', '<unk>']","['hé', 'tóng']"
合作,"['hé', 'zuò']","['hé', 'zuò']"
合为,"['hé', 'wéi']","['hé', 'wéi']"
化合,"['huà', 'hé']","['huà', 'hé']"
作合,"['zuò', 'hé']","['zuò', 'hé']"
散钱,"['sǎn', 'NA']","['sǎn', 'NA']"
散诞,"['sǎn', 'NA']","['sǎn', 'NA']"
散话,"['sǎn', 'NA']","['sǎn', 'NA']"
散记,"['sǎn', 'NA']","['sǎn', 'NA']"
散装,"['sǎn', 'NA']","['sǎn', 'NA']"
散职,"['sǎn', 'NA']","['sǎn', 'NA']"
散粉,"['sǎn', 'NA']","['sǎn', 'NA']"
