text,target,pred
论调,"['lùn', 'diào']","['lùn', 'diào']"
论据,"['lùn', 'jù']","['lùn', 'jù']"
结论,"['jié', 'lùn']","['jié', 'lùn']"
遗体,"['yí', 'tǐ']","['yí', 'tǐ']"
通体,"['tōng', 'tǐ']","['tōng', 'tǐ']"
解体,"['jiě', 'tǐ']","['jiě', 'tǐ']"
行体,"['xíng', 'tǐ']","['xíng', 'tǐ']"
繁体,"['fán', 'tǐ']","['fán', 'tǐ']"
正体,"['zhèng', 'tǐ']","['zhèng', 'tǐ']"
楷体,"['kǎi', 'tǐ']","['kǎi', 'tǐ']"
得体,"['dé', 'tǐ']","['dé', 'tǐ']"
经传,"['jīng', 'zhuàn']","['jīng', 'zhuàn']"
据传,"['jù', 'chuán']","['jù', 'chuán']"
都会,"['dū', 'huì']","['dū', 'huì']"
降价,"['jiàng', 'jià']","['jiàng', 'jià']"
还价,"['huán', 'jià']","['huán', 'jià']"
调价,"['tiáo', 'jià']","['tiáo', 'jià']"
要价,"['yào', 'jià']","['yào', 'jià']"
涨价,"['zhǎng', 'jià']","['zhǎng', 'jià']"
无价,"['wú', 'jià']","['wú', 'jià']"
提价,"['tí', 'jià']","['tí', 'jià']"
扳价,"['bān', 'jià']","['bān', 'jià']"
市价,"['shì', 'jià']","['shì', 'jià']"
差价,"['chā', 'jià']","['chā', 'jià']"
压价,"['yā', 'jià']","['yā', 'jià']"
单价,"['dān', 'jià']","['dān', 'jià']"
削价,"['xuē', 'jià']","['xuē', 'jià']"
划价,"['huà', 'jià']","['huà', 'jià']"
说亲,"['shuō', 'qīn']","['shuō', 'qīn']"
血亲,"['xuè', 'qīn']","['xuè', 'qīn']"
结亲,"['jié', 'qīn']","['jié', 'qīn']"
相亲,"['xiāng', 'qīn']","['xiāng', 'qīn']"
父亲,"['fù', 'qīn']","['fù', 'qīn']"
提亲,"['tí', 'qīn']","['tí', 'qīn']"
抢亲,"['qiǎng', 'qīn']","['qiǎng', 'qīn']"
思亲,"['sī', 'qīn']","['sī', 'qīn']"
家亲,"['jiā', 'qīn']","['jiā', 'qīn']"
六亲,"['liù', 'qīn']","['liù', 'qīn']"
可亲,"['kě', 'qīn']","['kě', 'qīn']"
单亲,"['dān', 'qīn']","['dān', 'qīn']"
王八,"['wáng', 'bā']","['wáng', 'bā']"
忘八,"['wàng', 'bā']","['wàng', 'bā']"
八里,"['bā', 'lǐ']","['bā', 'lǐ']"
有无,"['yǒu', 'wú']","['yǒu', 'wú']"
无量,"['wú', 'liàng']","['wú', 'liàng']"
无邪,"['wú', 'xié']","['wú', 'xié']"
无遗,"['wú', 'yí']","['wú', 'yí']"
无边,"['wú', 'biān']","['wú', 'biān']"
无趣,"['wú', 'qù']","['wú', 'qù']"
无语,"['wú', 'yǔ']","['wú', 'yǔ']"
无论,"['wú', 'lùn']","['wú', 'lùn']"
无菌,"['wú', 'jūn']","['wú', 'jūn']"
无色,"['wú', 'sè']","['wú', 'sè']"
无缝,"['wú', 'fèng']","['wú', 'fèng']"
甚为,"['shèn', 'wéi']","['shèn', 'wéi']"
甚且,"['shèn', 'qiě']","['shèn', 'qiě']"
得瑟,"['<unk>', 'NA']","['dé', 'NA']"
难得,"['nán', 'dé']","['nán', 'dé']"
过得,"['guò', 'dé']","['guò', 'dé']"
赚得,"['zhuàn', 'dé']","['zhuàn', 'dé']"
见得,"['jiàn', 'dé']","['jiàn', 'dé']"
要得,"['yào', 'dé']","['yào', 'dé']"
郎中,"['láng', 'zhōng']","['láng', 'zhōng']"
适中,"['shì', 'zhōng']","['shì', 'zhōng']"
空中,"['kōng', 'zhōng']","['kōng', 'zhōng']"
片中,"['piàn', 'zhōng']","['piàn', 'zhōng']"
正中,"['zhèng', 'zhōng']","['zhèng', 'zhōng']"
期中,"['qī', 'zhōng']","['qī', 'zhōng']"
朝中,"['cháo', 'zhōng']","['cháo', 'zhōng']"
折中,"['zhé', 'zhōng']","['zhé', 'zhōng']"
当中,"['dāng', 'zhōng']","['dāng', 'zhōng']"
其中,"['qí', 'zhōng']","['qí', 'zhōng']"
挨个,"['āi', 'gè']","['āi', 'gè']"
各个,"['gè', 'gè']","['gè', 'gè']"
貉绒,"['háo', 'NA']","['háo', 'NA']"
补丁,"['NA', '<unk>']","['NA', 'dīng']"
拉丁,"['lā', 'dīng']","['lā', 'dīng']"
应有,"['yīng', 'yǒu']","['yīng', 'yǒu']"
应得,"['yīng', 'dé']","['yīng', 'dé']"
适应,"['shì', 'yìng']","['shì', 'yìng']"
相应,"['xiāng', 'yìng']","['xiāng', 'yìng']"
应答,"['yìng', 'dá']","['yìng', 'dá']"
应召,"['yìng', 'zhào']","['yìng', 'zhào']"
纪要,"['jì', 'yào']","['jì', 'yào']"
纪委,"['jì', 'wěi']","['jì', 'wěi']"
蜡台,"['là', 'tái']","['là', 'tái']"
石台,"['shí', 'tái']","['shí', 'tái']"
烟台,"['yān', 'tái']","['yān', 'tái']"
炮台,"['pào', 'tái']","['pào', 'tái']"
棱台,"['léng', 'tái']","['léng', 'tái']"
柜台,"['guì', 'tái']","['guì', 'tái']"
拆台,"['chāi', 'tái']","['chāi', 'tái']"
戏台,"['xì', 'tái']","['xì', 'tái']"
奇台,"['qí', 'tái']","['qí', 'tái']"
塔台,"['tǎ', 'tái']","['tǎ', 'tái']"
地台,"['dì', 'tái']","['dì', 'tái']"
叉车,"['chā', 'chē']","['chā', 'chē']"
叉头,"['chā', 'tóu']","['chā', 'tóu']"
禁区,"['jìn', 'qū']","['jìn', 'qū']"
迫令,"['pò', 'lìng']","['pò', 'lìng']"
禁令,"['jìn', 'lìng']","['jìn', 'lìng']"
指令,"['zhǐ', 'lìng']","['zhǐ', 'lìng']"
得令,"['dé', 'lìng']","['dé', 'lìng']"
当令,"['dāng', 'lìng']","['dāng', 'lìng']"
强令,"['qiáng', 'lìng']","['qiáng', 'lìng']"
过从,"['guò', 'cóng']","['guò', 'cóng']"
无从,"['wú', 'cóng']","['wú', 'cóng']"
打从,"['dǎ', 'cóng']","['dǎ', 'cóng']"
虎魄,"['hǔ', 'pò']","['hǔ', 'pò']"
虎骨,"['hǔ', 'gǔ']","['hǔ', 'gǔ']"
虎尾,"['hǔ', 'wěi']","['hǔ', 'wěi']"
虎将,"['hǔ', 'jiàng']","['hǔ', 'jiàng']"
市尺,"['shì', 'chǐ']","['shì', 'chǐ']"
市委,"['shì', 'wěi']","['shì', 'wěi']"
市场,"['shì', 'chǎng']","['shì', 'chǎng']"
市区,"['shì', 'qū']","['shì', 'qū']"
食量,"['shí', 'liàng']","['shí', 'liàng']"
重量,"['zhòng', 'liàng']","['zhòng', 'liàng']"
适量,"['shì', 'liàng']","['shì', 'liàng']"
车夫,"['chē', 'fū']","['chē', 'fū']"
只读,"['zhǐ', 'dú']","['zhǐ', 'dú']"
作料,"['<unk>', 'NA']","['zuò', 'NA']"
遗作,"['yí', 'zuò']","['yí', 'zuò']"
著作,"['zhù', 'zuò']","['zhù', 'zuò']"
称作,"['chēng', 'zuò']","['chēng', 'zuò']"
石作,"['shí', 'zuò']","['shí', 'zuò']"
看作,"['kàn', 'zuò']","['kàn', 'zuò']"
混作,"['hùn', 'zuò']","['hùn', 'zuò']"
色当,"['sè', 'dāng']","['sè', 'dāng']"
相当,"['xiāng', 'dāng']","['xiāng', 'dāng']"
瓦当,"['wǎ', 'dāng']","['wǎ', 'dāng']"
正当,"['zhèng', 'dāng']","['zhèng', 'dāng']"
担当,"['dān', 'dāng']","['dān', 'dāng']"
难倒,"['nán', 'dǎo']","['nán', 'dǎo']"
拉倒,"['lā', 'dǎo']","['lā', 'dǎo']"
打倒,"['dǎ', 'dǎo']","['dǎ', 'dǎo']"
吓倒,"['xià', 'dǎo']","['xià', 'dǎo']"
压倒,"['yā', 'dǎo']","['yā', 'dǎo']"
倒车,"['dǎo', 'chē']","['dǎo', 'chē']"
倒把,"['dǎo', 'bǎ']","['dǎo', 'bǎ']"
倒头,"['dǎo', 'tóu']","['dǎo', 'tóu']"
倒嚼,"['dǎo', 'jiáo']","['dǎo', 'jiáo']"
倒台,"['dǎo', 'tái']","['dǎo', 'tái']"
雨量,"['yǔ', 'liàng']","['yǔ', 'liàng']"
雨燕,"['yǔ', 'yàn']","['yǔ', 'yàn']"
雨刷,"['yǔ', 'shuā']","['yǔ', 'shuā']"
谷雨,"['gǔ', 'yǔ']","['gǔ', 'yǔ']"
血雨,"['xuè', 'yǔ']","['xuè', 'yǔ']"
烟雨,"['yān', 'yǔ']","['yān', 'yǔ']"
思过,"['sī', 'guò']","['sī', 'guò']"
六龟,"['liù', 'guī']","['liù', 'guī']"
六邪,"['liù', 'xié']","['liù', 'xié']"
六角,"['liù', 'jiǎo']","['liù', 'jiǎo']"
六脚,"['liù', 'jiǎo']","['liù', 'jiǎo']"
这边,"['zhè', 'biān']","['zhè', 'biān']"
边长,"['biān', 'cháng']","['biān', 'cháng']"
边沿,"['biān', 'yán']","['biān', 'yán']"
边框,"['biān', 'kuàng']","['biān', 'kuàng']"
溜边,"['liū', 'biān']","['liū', 'biān']"
沿边,"['yán', 'biān']","['yán', 'biān']"
挨边,"['āi', 'biān']","['āi', 'biān']"
底边,"['dǐ', 'biān']","['dǐ', 'biān']"
转塔,"['zhuàn', 'tǎ']","['zhuàn', 'tǎ']"
<unk>转,"['<unk>', 'zhuǎn']","['NA', 'zhuǎn']"
转背,"['zhuǎn', 'bèi']","['zhuǎn', 'bèi']"
转给,"['zhuǎn', 'gěi']","['zhuǎn', 'gěi']"
转正,"['zhuǎn', 'zhèng']","['zhuǎn', 'zhèng']"
转校,"['zhuǎn', 'xiào']","['zhuǎn', 'xiào']"
转好,"['zhuǎn', 'hǎo']","['zhuǎn', 'hǎo']"
血汗,"['xuè', 'hàn']","['xuè', 'hàn']"
血洗,"['xuè', 'xǐ']","['xuè', 'xǐ']"
浆洗,"['jiāng', 'xǐ']","['jiāng', 'xǐ']"
洗衣,"['xǐ', 'yī']","['xǐ', 'yī']"
隽语,"['juàn', 'yǔ']","['juàn', 'yǔ']"
谜语,"['mí', 'yǔ']","['mí', 'yǔ']"
语调,"['yǔ', 'diào']","['yǔ', 'diào']"
语尾,"['yǔ', 'wěi']","['yǔ', 'wěi']"
语塞,"['yǔ', 'sè']","['yǔ', 'sè']"
罗语,"['luó', 'yǔ']","['luó', 'yǔ']"
缩语,"['suō', 'yǔ']","['suō', 'yǔ']"
结语,"['jié', 'yǔ']","['jié', 'yǔ']"
禁语,"['jìn', 'yǔ']","['jìn', 'yǔ']"
术语,"['shù', 'yǔ']","['shù', 'yǔ']"
恶语,"['è', 'yǔ']","['è', 'yǔ']"
溃逃,"['kuì', 'NA']","['kuì', 'NA']"
溃败,"['kuì', 'NA']","['kuì', 'NA']"
转发,"['zhuǎn', 'fā']","['zhuǎn', 'fā']"
研发,"['yán', 'fā']","['yán', 'fā']"
沙发,"['shā', 'fā']","['shā', 'fā']"
暴发,"['bào', 'fā']","['bào', 'fā']"
散发,"['sàn', 'fā']","['sàn', 'fā']"
并发,"['bìng', 'fā']","['bìng', 'fā']"
大发,"['dà', 'fā']","['dà', 'fā']"
喷发,"['pēn', 'fā']","['pēn', 'fā']"
发麻,"['fā', 'má']","['fā', 'má']"
发颤,"['fā', 'chàn']","['fā', 'chàn']"
发难,"['fā', 'nàn']","['fā', 'nàn']"
转角,"['zhuǎn', 'jiǎo']","['zhuǎn', 'jiǎo']"
角钉,"['jiǎo', 'dīng']","['jiǎo', 'dīng']"
角椅,"['jiǎo', 'yǐ']","['jiǎo', 'yǐ']"
角尺,"['jiǎo', 'chǐ']","['jiǎo', 'chǐ']"
广角,"['guǎng', 'jiǎo']","['guǎng', 'jiǎo']"
顿觉,"['dùn', 'jué']","['dùn', 'jué']"
发觉,"['fā', 'jué']","['fā', 'jué']"
震觉,"['NA', 'jué']","['NA', 'jué']"
错觉,"['NA', 'jué']","['NA', 'jué']"
麻衣,"['má', 'yī']","['má', 'yī']"
雨衣,"['yǔ', 'yī']","['yǔ', 'yī']"
衣食,"['yī', 'shí']","['yī', 'shí']"
衣柜,"['yī', 'guì']","['yī', 'guì']"
衣夹,"['yī', 'jiā']","['yī', 'jiā']"
衣冠,"['yī', 'guān']","['yī', 'guān']"
遗落,"['yí', 'luò']","['yí', 'luò']"
角落,"['jiǎo', 'luò']","['jiǎo', 'luò']"
衰落,"['shuāi', 'luò']","['shuāi', 'luò']"
落魄,"['luò', 'pò']","['luò', 'pò']"
落跑,"['luò', 'pǎo']","['luò', 'pǎo']"
落藉,"['luò', 'jiè']","['luò', 'jiè']"
落脚,"['luò', 'jiǎo']","['luò', 'jiǎo']"
落石,"['luò', 'shí']","['luò', 'shí']"
落泊,"['luò', 'bó']","['luò', 'bó']"
落榜,"['luò', 'bǎng']","['luò', 'bǎng']"
落拓,"['luò', 'tuò']","['luò', 'tuò']"
骨节,"['gǔ', 'jié']","['gǔ', 'jié']"
调节,"['tiáo', 'jié']","['tiáo', 'jié']"
节节,"['jié', 'jié']","['jié', 'jié']"
节育,"['jié', 'yù']","['jié', 'yù']"
节省,"['jié', 'shěng']","['jié', 'shěng']"
